CVE_CLPV,CVE_DOC,CVE_VEND,FECHA_ENT,CAN_TOT
       537,F29534,2.0,2019-09-18 00:00:00,7096.4237
      6841,F29535,2.0,2019-09-18 00:00:00,1487.8700000000001
      5926,F29536,2.0,2019-09-18 00:00:00,912.6484
        43,F29537,1.0,2019-09-18 00:00:00,37000.0
       941,F29538,4.0,2019-09-18 00:00:00,2602.5
      4802,F29539,2.0,2019-09-18 00:00:00,1197.7495000000001
      5486,F29540,1.0,2019-09-18 00:00:00,1050.0
      5668,F29541,3.0,2019-09-18 00:00:00,4118.62
       417,F29542,2.0,2019-09-18 00:00:00,6221.800000000001
      4635,F29543,2.0,2019-09-18 00:00:00,6194.64
      5926,F29544,2.0,2019-09-19 00:00:00,5129.784000000001
      6054,F29545,2.0,2019-09-19 00:00:00,20274.0
      6481,F29546,2.0,2019-09-10 00:00:00,1486.9
      5826,F29547,2.0,2019-09-19 00:00:00,385.00000000000006
      6834,F29548,2.0,2019-09-19 00:00:00,919.46
      1965,F29549,2.0,2019-09-19 00:00:00,1155.0
      6842,F29550,2.0,2019-09-19 00:00:00,852.2700000000001
      6340,F29551,2.0,2019-09-19 00:00:00,3194.6400000000003
      6843,F29552,2.0,2019-09-19 00:00:00,252.16000000000003
      3930,F29553,4.0,2019-09-10 00:00:00,48480.00000000001
      5068,F29554,2.0,2019-09-13 00:00:00,35725.0
      5114,F29555,2.0,2019-09-19 00:00:00,232.8
      5197,F29556,2.0,2019-09-19 00:00:00,110.00000000000001
      5046,F29557,2.0,2019-09-19 00:00:00,252.16000000000003
      5739,F29558,1.0,2019-09-19 00:00:00,19000.0
      5739,F29559,1.0,2019-09-19 00:00:00,4410.0
      4605,F29560,2.0,2019-09-19 00:00:00,3112.9900000000007
      6354,F29561,2.0,2019-09-19 00:00:00,252.16000000000003
      6800,F29562,2.0,2019-09-19 00:00:00,252.16000000000003
        87,F29563,2.0,2019-09-19 00:00:00,249.05
       941,F29564,4.0,2019-09-13 00:00:00,1940.0000000000002
      5926,F29565,3.0,2019-09-19 00:00:00,3365.9
      6844,F29566,2.0,2019-09-19 00:00:00,43103.448200000006
      5739,F29567,1.0,2019-09-19 00:00:00,19000.0
      5926,F29568,2.0,2019-09-20 00:00:00,1939.92
       728,F29569,1.0,2019-09-20 00:00:00,3112.0000000000005
      6842,F29570,2.0,2019-09-20 00:00:00,568.11
      6845,F29571,2.0,2019-09-20 00:00:00,568.11
      6547,F29572,2.0,2019-09-25 00:00:00,841.34
       728,F29573,1.0,2019-09-20 00:00:00,33499.200000000004
      1158,F29574,2.0,2019-09-20 00:00:00,420.00000000000006
       728,F29575,1.0,2019-09-20 00:00:00,33499.200000000004
      5968,F29576,1.0,2019-09-20 00:00:00,5400.0
      3032,F29577,2.0,2019-09-20 00:00:00,720.0000000000001
      5926,F29578,3.0,2019-09-20 00:00:00,777.1
      6153,F29579,2.0,2019-09-20 00:00:00,193.99
      5728,F29580,1.0,2019-09-05 00:00:00,1540.65
       112,F29581,1.0,2019-09-20 00:00:00,2034.0000000000002
      1478,F29582,1.0,2019-09-10 00:00:00,4679.0
      5926,F29583,2.0,2019-09-19 00:00:00,120.00000000000001
      5926,F29584,2.0,2019-09-19 00:00:00,2371.3500000000004
      5926,F29585,2.0,2019-09-19 00:00:00,252.16000000000003
      5930,F29586,4.0,2019-09-20 00:00:00,14240.000000000002
      5926,F29587,2.0,2019-09-17 00:00:00,142.26000000000002
      5926,F29588,2.0,2019-09-18 00:00:00,1700.0000000000002
      5926,F29589,2.0,2019-09-18 00:00:00,708.0200000000001
      5926,F29590,2.0,2019-09-18 00:00:00,111.00000000000001
      5926,F29591,2.0,2019-09-18 00:00:00,918.34
      5926,F29592,2.0,2019-09-18 00:00:00,102.42
      4676,F29593,3.0,2019-09-20 00:00:00,695.69
        49,F29594,3.0,2019-09-19 00:00:00,2900.0
      6395,F29595,2.0,2019-09-20 00:00:00,280.0
      1852,F29596,2.0,2019-09-17 00:00:00,7125.9000000000015
       871,F29597,1.0,2019-09-23 00:00:00,7300.000000000001
      6059,F29598,4.0,2019-09-23 00:00:00,3426.7500000000005
      1703,F29599,1.0,2019-09-06 00:00:00,50994.00000000001
      1965,F29600,2.0,2019-09-23 00:00:00,2790.5000000000005
       989,F29601,2.0,2019-09-23 00:00:00,2726.5200000000004
       989,F29602,2.0,2019-09-23 00:00:00,1363.2600000000002
      3222,F29603,3.0,2019-09-23 00:00:00,1363.2600000000002
      5149,F29604,2.0,2019-09-23 00:00:00,2726.5200000000004
      3222,F29605,2.0,2019-09-23 00:00:00,1363.2600000000002
      6846,F29606,2.0,2019-09-23 00:00:00,1282.3300000000002
       161,F29607,4.0,2019-09-20 00:00:00,1054.0
       161,F29608,4.0,2019-09-20 00:00:00,1054.0
      6833,F29609,2.0,2019-09-23 00:00:00,1080.02
      4831,F29610,2.0,2019-09-23 00:00:00,1540.0000000000002
      5486,F29611,1.0,2019-09-23 00:00:00,3175.0000000000005
       664,F29612,2.0,2019-09-25 00:00:00,10463.01
       664,F29613,2.0,2019-09-18 00:00:00,4232.25
       664,F29614,2.0,2019-09-25 00:00:00,10463.01
       664,F29615,2.0,2019-09-18 00:00:00,4232.25
       664,F29616,2.0,2019-09-18 00:00:00,4232.25
      4631,F29617,2.0,2019-09-23 00:00:00,2900.0000000000005
      4631,F29618,2.0,2019-09-23 00:00:00,1450.0000000000002
      6661,F29619,2.0,2019-09-13 00:00:00,1627.5000000000002
      4802,F29620,2.0,2019-09-09 00:00:00,6186.337500000001
       161,F29621,4.0,nan,1230.0
      6670,F29622,2.0,2019-09-23 00:00:00,6492.000000000001
      6383,F29623,,2019-09-24 00:00:00,2144.0
      1125,F29624,,2019-09-24 00:00:00,1319.0
      6177,F29625,2.0,2019-09-24 00:00:00,4135.700000000001
      6726,F29626,6.0,2019-09-23 00:00:00,4700.0
      6848,F29627,2.0,2019-09-24 00:00:00,1900.0000000000002
      4427,F29628,1.0,2019-09-24 00:00:00,287.1
      4427,F29629,2.0,2019-09-24 00:00:00,287.1
       357,F29630,2.0,2019-09-24 00:00:00,3885.4800000000005
      6849,F29631,4.0,2019-09-24 00:00:00,36.0
      5989,F29632,2.0,2019-09-24 00:00:00,483.24000000000007
       728,F29633,1.0,2019-09-24 00:00:00,155913.0
      6850,F29634,2.0,2019-09-24 00:00:00,364.00000000000006
      5926,F29635,2.0,2019-09-23 00:00:00,120.00000000000001
      5926,F29636,2.0,2019-09-23 00:00:00,36.21
      5926,F29637,2.0,2019-09-23 00:00:00,456.00000000000006
      5926,F29638,2.0,2019-09-24 00:00:00,682.5
       251,F29639,5.0,2019-09-25 00:00:00,1250.0
      6851,F29640,2.0,2019-09-25 00:00:00,172.5
      2357,F29641,2.0,2019-09-13 00:00:00,3743.0000000000005
      2385,F29642,4.0,2019-09-25 00:00:00,6000.000000000001
      6852,F29643,2.0,2019-09-25 00:00:00,333.96000000000004
      6852,F29644,2.0,2019-09-25 00:00:00,1269.88
      6853,F29645,2.0,2019-09-25 00:00:00,1269.88
      5615,F29646,3.0,2019-09-25 00:00:00,789.0000000000001
      2390,F29647,1.0,2019-09-20 00:00:00,4005.7500000000005
        47,F29648,2.0,2019-09-25 00:00:00,267.24
      5915,F29649,2.0,2019-09-25 00:00:00,1999.7900000000002
      5039,F29650,1.0,2019-09-26 00:00:00,1530.0000000000002
      5039,F29651,1.0,2019-09-26 00:00:00,2750.0
      5596,F29652,3.0,2019-09-26 00:00:00,2294.4950000000003
      5046,F29653,4.0,2019-09-26 00:00:00,560.0
      5977,F29654,3.0,2019-09-26 00:00:00,30.000000000000004
      6611,F29655,3.0,2019-09-26 00:00:00,703.6
      6825,F29656,2.0,2019-09-26 00:00:00,1228.5
      4804,F29657,2.0,2019-09-20 00:00:00,2421.0
      6451,F29658,3.0,2019-09-23 00:00:00,2360.0826
      3931,F29659,2.0,2019-09-26 00:00:00,165.0
        43,F29660,1.0,2019-09-26 00:00:00,17230.0
      6691,F29661,3.0,2019-09-26 00:00:00,276.0
      4831,F29662,2.0,2019-09-26 00:00:00,2310.0
       251,F29663,5.0,2019-09-26 00:00:00,1250.0
      6153,F29664,3.0,2019-09-26 00:00:00,2391.355
      5926,F29665,2.0,2019-09-24 00:00:00,597.4200000000001
      5926,F29666,2.0,2019-09-25 00:00:00,563.6
      5926,F29667,2.0,2019-09-24 00:00:00,72.42
      5926,F29668,2.0,2019-09-24 00:00:00,380.00000000000006
      5926,F29669,2.0,2019-09-24 00:00:00,252.16000000000003
      1586,F29670,2.0,2019-09-26 00:00:00,144.0
      5926,F29671,2.0,2019-09-26 00:00:00,155.17060000000004
      4602,F29672,3.0,2019-09-26 00:00:00,3855.7
      5739,F29673,1.0,2019-09-26 00:00:00,4410.0
      6365,F29674,3.0,2019-09-27 00:00:00,1096.8600000000001
      2029,F29675,3.0,2019-09-27 00:00:00,21024.0
      6419,F29676,2.0,2019-09-18 00:00:00,645.09
      1020,F29677,2.0,2019-09-27 00:00:00,4528.6
      6844,F29678,2.0,2019-09-27 00:00:00,600.0
      6556,F29679,3.0,2019-09-27 00:00:00,625.0
      6184,F29680,2.0,2019-09-20 00:00:00,1190.0
      6854,F29681,2.0,2019-09-27 00:00:00,1836.2400000000002
      3108,F29682,2.0,2019-09-27 00:00:00,1687.66
      2029,F29683,3.0,2019-09-27 00:00:00,21024.0
      6365,F29684,2.0,2019-09-27 00:00:00,2556.0
        96,F29685,2.0,2019-09-19 00:00:00,5392.320000000001
      4563,F29686,2.0,2019-09-27 00:00:00,3662.76
       728,F29687,1.0,2019-09-27 00:00:00,155913.0
      6340,F29688,2.0,2019-09-19 00:00:00,2366.4
      3545,F29689,4.0,2019-09-27 00:00:00,1440.0000000000002
      6855,F29690,3.0,2019-09-27 00:00:00,2855.5
        42,F29691,2.0,2019-09-30 00:00:00,3150.0000000000005
      6856,F29692,2.0,2019-09-30 00:00:00,527.63
      6856,F29693,2.0,2019-09-30 00:00:00,1055.18
      6847,F29694,2.0,2019-09-30 00:00:00,6300.7327000000005
      5598,F29695,2.0,2019-09-30 00:00:00,3196.0
      5598,F29696,2.0,2019-09-30 00:00:00,4938.0
      6857,F29697,2.0,2019-09-30 00:00:00,857.4000000000001
      6844,F29698,2.0,2019-09-20 00:00:00,53971.64
